@relation databasetraining

@attribute area numeric
@attribute perimeter numeric
@attribute circularity numeric
@attribute compactness numeric
@attribute major numeric
@attribute minor numeric
@attribute eccentricity numeric
@attribute hisgreypeak numeric
@attribute q1grey numeric
@attribute q2grey numeric
@attribute q3grey numeric
@attribute q1r numeric
@attribute q2r numeric
@attribute q3r numeric
@attribute q1g numeric
@attribute q2g numeric
@attribute q3g numeric
@attribute q1b numeric
@attribute q2b numeric
@attribute q3b numeric
@attribute Stage {'Stage 1','Stage 2','Stage 3','Stage 4', 'Stage 5'}

@data
36686.0, 1974.99658, 0.118189134, 0.00940519199, 146.180374, 125.29583, 1.36114657, 47.0, 49.0, 59.0, 72.0, 48.0, 60.0, 77.0, 69.0, 83.0, 98.0, 30.0, 34.0, 46.0,'Stage 1'
52996.0, 2336.33447, 0.122006491, 0.00970896799, 233.532776, 154.726898, 2.27805424, 63.0, 61.0, 67.0, 78.0, 59.0, 68.0, 82.0, 87.0, 96.0, 109.0, 34.0, 39.0, 46.0,'Stage 2'
86317.0, 2223.59668, 0.219378531, 0.0174575895, 216.000336, 149.211639, 2.09557605, 60.0, 53.0, 59.0, 65.0, 52.0, 58.0, 65.0, 77.0, 87.0, 95.0, 28.0, 32.0, 38.0,'Stage 2'
53358.0, 2171.66528, 0.142175138, 0.0113139376, 174.400284, 145.792313, 1.43095219, 62.0, 60.0, 65.0, 72.0, 59.0, 65.0, 74.0, 89.0, 96.0, 105.0, 31.0, 35.0, 40.0,'Stage 1'
43080.0, 2041.24475, 0.129925802, 0.010339166, 154.707275, 133.16156, 1.34978235, 64.0, 54.0, 64.0, 74.0, 51.0, 64.0, 79.0, 77.0, 93.0, 104.0, 30.0, 35.0, 43.0,'Stage 1'
25677.0, 1164.75647, 0.237839431, 0.0189266615, 129.815903, 88.6410828, 2.14479446, 43.0, 44.0, 49.0, 58.0, 43.0, 49.0, 59.0, 65.0, 71.0, 81.0, 23.0, 27.0, 36.0,'Stage 1'
54071.0, 2787.30542, 0.0874591246, 0.00695977593, 221.916092, 159.547897, 1.93461883, 68.0, 64.0, 71.0, 82.0, 63.0, 71.0, 86.0, 91.0, 100.0, 113.0, 35.0, 42.0, 51.0,'Stage 2'
44941.0, 2380.88037, 0.0996270999, 0.00792807247, 154.572983, 133.43277, 1.34196818, 58.0, 54.0, 61.0, 73.0, 51.0, 59.0, 74.0, 77.0, 86.0, 98.0, 33.0, 38.0, 47.0,'Stage 1'
68026.0, 3886.91943, 0.0565814041, 0.00450260518, 276.589417, 137.826859, 4.02720213, 93.0, 66.0, 82.0, 97.0, 66.0, 85.0, 101.0, 91.0, 108.0, 128.0, 41.0, 52.0, 63.0,'Stage 2'
44290.0, 1981.91797, 0.141691625, 0.0112754619, 199.796677, 130.538055, 2.34262228, 47.0, 50.0, 66.0, 83.0, 48.0, 69.0, 89.0, 70.0, 91.0, 113.0, 31.0, 38.0, 49.0,'Stage 2'
52678.0, 2038.45276, 0.159308091, 0.0126773352, 181.392593, 131.344986, 1.90726972, 49.0, 46.0, 53.0, 66.0, 43.0, 52.0, 68.0, 65.0, 75.0, 91.0, 28.0, 33.0, 40.0,'Stage 1'
20763.0, 922.220276, 0.306782514, 0.0244129766, 114.718597, 76.213829, 2.26568794, 32.0, 40.0, 50.0, 70.0, 38.0, 52.0, 73.0, 57.0, 71.0, 92.0, 22.0, 31.0, 47.0,'Stage 1'
25369.0, 1603.07886, 0.124051906, 0.0098717371, 191.228088, 93.0587006, 4.22269201, 64.0, 63.0, 68.0, 83.0, 62.0, 69.0, 89.0, 93.0, 99.0, 116.0, 33.0, 36.0, 46.0,'Stage 2'
68938.0, 3144.16553, 0.0876309946, 0.00697345333, 234.924393, 164.429672, 2.04124832, 67.0, 67.0, 74.0, 87.0, 68.0, 77.0, 97.0, 100.0, 109.0, 122.0, 31.0, 36.0, 46.0,'Stage 2'
29173.0, 1591.29199, 0.144774199, 0.0115207648, 131.653244, 107.651154, 1.49563539, 55.0, 51.0, 60.0, 73.0, 49.0, 61.0, 78.0, 72.0, 84.0, 102.0, 29.0, 34.0, 42.0,'Stage 1'
92316.0, 4094.76685, 0.0691876337, 0.00550577696, 348.140533, 205.314163, 2.87522197, 53.0, 50.0, 57.0, 69.0, 47.0, 56.0, 71.0, 71.0, 81.0, 95.0, 28.0, 35.0, 45.0,'Stage 2'
