@relation databasetraining

@attribute area numeric
@attribute perimeter numeric
@attribute circularity numeric
@attribute compactness numeric
@attribute major numeric
@attribute minor numeric
@attribute eccentricity numeric
@attribute hisgreypeak numeric
@attribute q1grey numeric
@attribute q2grey numeric
@attribute q3grey numeric
@attribute q1r numeric
@attribute q2r numeric
@attribute q3r numeric
@attribute q1g numeric
@attribute q2g numeric
@attribute q3g numeric
@attribute q1b numeric
@attribute q2b numeric
@attribute q3b numeric
@attribute Stage {'Stage 1','Stage 2','Stage 3','Stage 4', 'Stage 5'}

@data
118316.0, 6553.49316, 0.0346184485, 0.00275484868, 484.56781, 368.618652, 1.72804296, 72.0, 75.0, 86.0, 102.0, 79.0, 93.0, 114.0, 113.0, 126.0, 142.0, 33.0, 38.0, 52.0,'Stage 4'
3549.0, 331.137085, 0.406724393, 0.0323661007, 61.9184494, 20.8941174, 8.78197193, 53.0, 53.0, 60.0, 74.0, 56.0, 64.0, 83.0, 74.0, 84.0, 101.0, 28.0, 33.0, 42.0,'Stage 1'
120153.0, 5223.68945, 0.0553337112, 0.00440331688, 597.680786, 154.257339, 15.012289, 84.0, 82.0, 93.0, 104.0, 92.0, 105.0, 121.0, 119.0, 133.0, 146.0, 33.0, 39.0, 47.0,'Stage 4'
48046.0, 2589.46191, 0.0900425985, 0.00716536259, 213.495361, 90.1679993, 5.60624456, 82.0, 82.0, 92.0, 107.0, 97.0, 111.0, 125.0, 116.0, 128.0, 149.0, 32.0, 38.0, 48.0,'Stage 4'
62075.0, 2972.09302, 0.0883083567, 0.00702735549, 224.521561, 117.742096, 3.63624024, 69.0, 69.0, 75.0, 89.0, 68.0, 76.0, 95.0, 105.0, 112.0, 125.0, 32.0, 37.0, 48.0,'Stage 2'
86854.0, 5528.39502, 0.0357109644, 0.00284178834, 304.231873, 301.742035, 1.01657104, 102.0, 96.0, 103.0, 110.0, 109.0, 120.0, 131.0, 139.0, 147.0, 155.0, 35.0, 39.0, 45.0,'Stage 4'
49306.0, 4166.0957, 0.0356985964, 0.00284080417, 313.60199, 226.199463, 1.92209351, 96.0, 95.0, 103.0, 112.0, 104.0, 113.0, 128.0, 139.0, 147.0, 156.0, 42.0, 48.0, 55.0,'Stage 3'
39188.0, 2088.65503, 0.112883255, 0.00898296386, 204.8069, 106.623344, 3.68964458, 52.0, 52.0, 60.0, 78.0, 51.0, 60.0, 83.0, 78.0, 89.0, 106.0, 25.0, 32.0, 46.0,'Stage 2'
143745.0, 5871.45264, 0.0523976125, 0.00416966947, 484.647095, 256.038757, 3.58294249, 75.0, 75.0, 84.0, 100.0, 78.0, 87.0, 109.0, 111.0, 122.0, 139.0, 37.0, 43.0, 53.0,'Stage 3'
30121.0, 913.538513, 0.453550398, 0.0360923931, 133.134277, 78.0057144, 2.91290975, 56.0, 55.0, 59.0, 66.0, 55.0, 61.0, 69.0, 84.0, 90.0, 98.0, 26.0, 28.0, 34.0,'Stage 2'
84407.0, 2642.24292, 0.151929751, 0.0120901847, 270.434174, 170.133163, 2.52665091, 62.0, 62.0, 74.0, 90.0, 65.0, 81.0, 101.0, 96.0, 111.0, 128.0, 25.0, 32.0, 41.0,'Stage 3'
1934.0, 316.457428, 0.242680982, 0.0193119384, 45.1719742, 24.8505764, 3.30419135, 68.0, 65.0, 82.0, 109.0, 71.0, 91.0, 121.0, 85.0, 103.0, 129.0, 37.0, 53.0, 80.0,'Stage 1'
87702.0, 3392.59473, 0.0957536623, 0.00761983404, 315.766205, 151.985489, 4.3164525, 97.0, 85.0, 95.0, 104.0, 94.0, 110.0, 130.0, 123.0, 134.0, 145.0, 34.0, 37.0, 42.0,'Stage 4'
13744.0, 1052.55664, 0.155894935, 0.0124057252, 136.376266, 68.0605469, 4.01501083, 75.0, 75.0, 85.0, 97.0, 84.0, 97.0, 112.0, 112.0, 124.0, 139.0, 29.0, 34.0, 43.0,'Stage 4'
5025.0, 893.732727, 0.0790552348, 0.00629101554, 110.831238, 79.7503586, 1.93134153, 87.0, 88.0, 98.0, 114.0, 97.0, 110.0, 128.0, 119.0, 130.0, 142.0, 45.0, 56.0, 75.0,'Stage 1'
80205.0, 7096.86523, 0.0200114343, 0.00159245927, 325.649689, 213.033859, 2.33670568, 112.0, 86.0, 105.0, 115.0, 90.0, 115.0, 128.0, 125.0, 145.0, 160.0, 44.0, 51.0, 59.0,'Stage 3'
5423.0, 747.026001, 0.122117527, 0.00971780438, 76.751709, 53.4310455, 2.06342554, 58.0, 56.0, 68.0, 95.0, 58.0, 73.0, 105.0, 77.0, 91.0, 115.0, 33.0, 43.0, 64.0,'Stage 1'
55932.0, 2149.96631, 0.152057171, 0.012100325, 235.510696, 186.13472, 1.60090852, 58.0, 63.0, 81.0, 98.0, 67.0, 91.0, 112.0, 95.0, 115.0, 141.0, 27.0, 34.0, 42.0,'Stage 3'
63134.0, 3076.44336, 0.0838253424, 0.00667060865, 283.489288, 170.525955, 2.76370955, 52.0, 63.0, 79.0, 93.0, 65.0, 87.0, 105.0, 92.0, 113.0, 133.0, 27.0, 33.0, 46.0,'Stage 2'
116230.0, 6214.35498, 0.0378212593, 0.00300972024, 500.420044, 372.960114, 1.80029893, 85.0, 87.0, 96.0, 108.0, 91.0, 104.0, 120.0, 128.0, 139.0, 152.0, 40.0, 45.0, 54.0,'Stage 4'
66789.0, 3454.74609, 0.0703205988, 0.00559593551, 225.587479, 159.733856, 1.99450922, 99.0, 92.0, 101.0, 110.0, 110.0, 122.0, 134.0, 123.0, 138.0, 154.0, 37.0, 41.0, 47.0,'Stage 4'
72644.0, 3797.36987, 0.0633058399, 0.00503771892, 255.228424, 203.914459, 1.56661415, 104.0, 80.0, 95.0, 106.0, 89.0, 108.0, 123.0, 114.0, 137.0, 152.0, 34.0, 39.0, 46.0,'Stage 4'
28735.0, 2932.1438, 0.0420001186, 0.00334226317, 265.782867, 95.3015137, 7.77775717, 105.0, 100.0, 106.0, 113.0, 114.0, 123.0, 132.0, 143.0, 151.0, 158.0, 40.0, 44.0, 55.0,'Stage 4'
110931.0, 3508.91895, 0.113218173, 0.00900961552, 463.723602, 115.412437, 16.1440754, 72.0, 69.0, 82.0, 96.0, 74.0, 89.0, 106.0, 104.0, 121.0, 138.0, 30.0, 36.0, 45.0,'Stage 3'
79648.0, 3357.67407, 0.0887784734, 0.00706476625, 302.93161, 179.40892, 2.85102582, 66.0, 68.0, 78.0, 97.0, 74.0, 87.0, 110.0, 101.0, 113.0, 141.0, 30.0, 36.0, 44.0,'Stage 2'
69217.0, 4777.5918, 0.0381069854, 0.00303245755, 439.416443, 199.106598, 4.8705864, 74.0, 70.0, 86.0, 104.0, 76.0, 95.0, 119.0, 105.0, 121.0, 150.0, 28.0, 36.0, 47.0,'Stage 3'
663.0, 138.934448, 0.431621939, 0.0343473814, 28.4088955, 8.93041801, 10.1196423, 85.0, 77.0, 92.0, 116.0, 90.0, 110.0, 131.0, 89.0, 102.0, 128.0, 49.0, 67.0, 93.0,'Stage 1'
14732.0, 1351.22778, 0.101394504, 0.00806871802, 110.232094, 103.497902, 1.13436568, 73.0, 70.0, 78.0, 95.0, 71.0, 81.0, 105.0, 98.0, 107.0, 125.0, 40.0, 46.0, 58.0,'Stage 1'
91819.0, 7332.96777, 0.0214576833, 0.00170754828, 473.19101, 374.137299, 1.59959841, 110.0, 90.0, 100.0, 109.0, 95.0, 109.0, 122.0, 133.0, 146.0, 158.0, 39.0, 43.0, 53.0,'Stage 4'
903.0, 135.982758, 0.613663018, 0.0488337502, 26.8047657, 11.0889254, 5.84312391, 59.0, 70.0, 100.0, 130.0, 78.0, 107.0, 136.0, 87.0, 114.0, 141.0, 47.0, 77.0, 112.0,'Stage 1'
8417.0, 631.730042, 0.26503557, 0.0210908614, 65.4739456, 56.3761024, 1.3487978, 56.0, 55.0, 61.0, 78.0, 55.0, 62.0, 84.0, 77.0, 85.0, 103.0, 32.0, 37.0, 47.0,'Stage 1'
65798.0, 2602.27686, 0.122099981, 0.0097164074, 192.693695, 154.554703, 1.55442786, 66.0, 67.0, 78.0, 92.0, 69.0, 86.0, 102.0, 99.0, 111.0, 133.0, 33.0, 37.0, 43.0,'Stage 2'
71263.0, 4504.55713, 0.0441336446, 0.00351204397, 273.676514, 244.413239, 1.25379217, 112.0, 84.0, 100.0, 111.0, 94.0, 114.0, 131.0, 123.0, 141.0, 152.0, 32.0, 41.0, 52.0,'Stage 4'
167053.0, 7455.2749, 0.0377691165, 0.00300557073, 522.503357, 462.862396, 1.27430797, 70.0, 65.0, 76.0, 93.0, 67.0, 83.0, 103.0, 98.0, 113.0, 130.0, 28.0, 34.0, 48.0,'Stage 4'
61033.0, 4460.5249, 0.0385480747, 0.00306755817, 288.403778, 137.689072, 4.38735628, 115.0, 90.0, 104.0, 115.0, 99.0, 119.0, 133.0, 130.0, 143.0, 156.0, 40.0, 48.0, 57.0,'Stage 4'
44737.0, 2083.40552, 0.129517689, 0.0103066908, 214.933167, 85.5625, 6.31015301, 64.0, 65.0, 73.0, 110.0, 67.0, 78.0, 129.0, 98.0, 106.0, 150.0, 29.0, 40.0, 51.0,'Stage 3'
57760.0, 3850.91577, 0.0489450768, 0.00389492558, 260.340027, 199.14357, 1.70902848, 98.0, 92.0, 101.0, 110.0, 107.0, 118.0, 130.0, 136.0, 146.0, 156.0, 33.0, 38.0, 46.0,'Stage 4'
42155.0, 3860.09644, 0.035551887, 0.00282912934, 226.007355, 167.369827, 1.82343721, 102.0, 86.0, 99.0, 109.0, 97.0, 111.0, 124.0, 111.0, 134.0, 149.0, 45.0, 51.0, 59.0,'Stage 2'
